item_no,category,group,configuration,part,specifications,bom_quantity,budget_quantity,budget_unit,currency,budget_unit_price_usd,budget_line_total_usd,price_basis,purchase_url,purchase_link_type,aliexpress_url,amazon_url,budget_notes,source_url,checked_date
66,Fasteners & Miscellaneous Parts,Miscellaneous,common,PLA 1.75 1kg,,5,5,1 kg spool,USD,0.00,0.00,already_owned,https://us.store.bambulab.com/products/pla-basic-filament,manufacturer_page; confirm PLA variant,,https://www.amazon.com/dp/B07SLPLPL2/?tag=arctosrobot07-20,User already owns PLA; no additional filament purchase budgeted. Original BOM requirement of 5 kg retained.,https://arctosrobotics.com/bom/,2026-09-25
67,Fasteners & Miscellaneous Parts,Miscellaneous,common,Zip ties,,,1,pack,USD,3.00,3.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c2RA9jr9,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c2RA9jr9,,Unverified planning allowance; not a supplier quote. BOM quantity blank; assume one pack for budgeting.,https://arctosrobotics.com/bom/,2026-09-25
68,Fasteners & Miscellaneous Parts,Miscellaneous,common,Heat shrink tubes,,,1,pack,USD,5.00,5.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4SdROgj,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4SdROgj,,Unverified planning allowance; not a supplier quote. BOM quantity blank; assume one pack for budgeting.,https://arctosrobotics.com/bom/,2026-09-25
69,Fasteners & Miscellaneous Parts,Miscellaneous,common,Superglue,,1,1,pack,USD,4.00,4.00,unverified_planning_allowance,https://www.amazon.com/s?k=Superglue,shopping_search; no product selected,,,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
70,Fasteners & Miscellaneous Parts,Miscellaneous,common,Cable sleeve 10mm diameter,2m,,2,metre,USD,2.00,4.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4XmEl9J,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4XmEl9J,,Unverified planning allowance; not a supplier quote. BOM quantity blank; use the 2 m length in specifications.,https://arctosrobotics.com/bom/,2026-09-25
71,Cables,,common,Motor Connector Cable,2m,2,2,piece,USD,4.00,8.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_opH4aQj,,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
72,Cables,,common,Motor Connector Cable,1.5m,1,1,piece,USD,3.50,3.50,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_opH4aQj,,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
73,Cables,,common,Motor Connector Cable,1m,3,3,piece,USD,3.00,9.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_opH4aQj,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_opH4aQj,,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
74,Cables,,common,Power cord,,1,1,piece,USD,6.00,6.00,unverified_planning_allowance,https://s.click.aliexpress.com/e/_c4CQdVKF,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4CQdVKF,,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
75,Cables,,common,Dupont jumper wires,"m2m, f2f, m2f",1,1,pack,USD,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/dp/B01EV70C78/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c4Pa9hKv,https://www.amazon.com/dp/B01EV70C78/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
76,Cables,,common,USB A to B,2m with shield,1,1,piece,USD,5.00,5.00,unverified_planning_allowance,https://www.amazon.com/dp/B00P0FO1P0/?tag=arctosrobot07-20,BOM_supplier_link; variant and pack size unverified,https://s.click.aliexpress.com/e/_c3mDCpT3,https://www.amazon.com/dp/B00P0FO1P0/?tag=arctosrobot07-20,Unverified planning allowance; not a supplier quote.,https://arctosrobotics.com/bom/,2026-09-25
